#{"t_start": 1777453399.439731, "env_id": "None"}
r,l,t
-63.07662,74,20.001727
-64.03315,75,20.046698
-59.425716,73,20.330673
-61.9676,77,20.366225
-675.94867,600,20.388703
-66.248924,128,20.433882
-63.131676,75,20.680398
-62.114006,73,20.730314
-68.166245,94,20.807652
-62.005215,81,20.807681
-68.11284,78,21.030587
-59.902573,69,21.115841
-68.76555,92,21.132183
-63.932735,81,21.167999
-62.84334,74,21.353973
-63.70268,77,21.461374
-62.89634,74,21.462137
-62.81531,82,21.527729
-63.913643,81,21.713637
-63.08189,79,21.798049
-64.866425,82,21.815683
-65.52984,79,21.873202
-63.991608,85,22.075561
-64.697586,73,22.10962
-65.90538,75,22.140452
-66.0002,78,22.206921
-64.28498,75,22.41298
-73.59632,87,22.430555
-61.589344,74,22.525897
-61.895863,76,22.788673
-68.988014,84,22.806977
-62.326263,72,22.845058
-62.72967,73,23.101545
-62.108116,69,23.152217
-64.39272,86,23.189727
-72.24607,86,23.527246
-63.213123,76,23.527277
-61.298637,74,23.561394
-63.7827,72,23.85234
-64.49477,77,23.885866
-63.35088,76,23.903001
-61.28781,71,24.147335
-67.54961,72,24.195776
-70.342865,81,24.211541
-64.98299,76,24.465039
-63.68077,69,24.500196
-64.70776,76,24.516709
-653.6547,600,24.814553
-65.85189,76,24.81593
-64.29877,76,24.85303
-65.214645,77,24.870572
-66.78186,75,25.120075
-66.77925,74,25.133821
-63.342598,73,25.152835
-63.286125,74,25.183613
-65.363525,72,25.421555
-66.1385,72,25.440964
-64.44721,72,25.464214
-65.32917,76,25.51413
-67.062645,77,25.875878
-67.46944,78,25.877883
-64.574,73,25.901454
-67.98303,83,25.992167
-65.18927,73,26.257406
-64.14939,81,26.273198
-69.7716,83,26.29594
-68.59183,87,26.39595
-66.57592,69,26.550055
-63.610474,71,26.598702
-70.20551,94,26.666602
-66.34418,92,26.776967
-64.68091,72,26.838987
-63.576427,75,26.88632
-65.48286,77,26.982713
-65.60816,77,27.082247
-68.31673,77,27.210431
-68.04889,93,27.212471
-66.31513,74,27.278643
-63.89301,79,27.409767
-62.978146,74,27.52484
-69.270966,98,27.612063
-68.90298,98,27.69655
-66.13175,80,27.747455
-63.630013,76,27.8458
-67.361015,83,27.969066
-61.806263,71,28.077085
-67.09825,91,28.097826
-63.030693,78,28.202565
-68.0601,88,28.364657
-63.459522,72,28.38146
-64.48512,84,28.444901
-68.49933,84,28.544164
-64.82401,76,28.70103
-66.90594,85,28.720042
-65.553276,79,28.782084
-63.05584,74,28.858689
-63.316837,76,29.044471
-63.74705,83,29.062843
-61.784565,78,29.132172
-62.656628,71,29.178921
-62.61472,74,29.350396
-66.23327,77,29.351576
-64.87178,73,29.414154
-66.08353,79,29.477097
-59.499077,69,29.632352
-65.44515,71,29.649286
-63.77973,92,29.791454
-60.55743,85,29.838432
-61.292183,77,29.949766
-62.652687,85,29.992237
-64.12854,83,30.135892
-62.804543,72,30.135918
-62.96662,80,30.290767
-61.86825,76,30.309786
-64.29183,75,30.453271
-61.825356,75,30.453301
-59.9937,76,30.641935
-59.761623,86,30.659526
-61.984886,72,30.756041
-61.952606,78,30.787132
-61.37954,80,30.967443
-57.746857,78,30.983328
-58.798622,83,31.130206
-61.952827,93,31.146522
-59.870525,79,31.295105
-64.15368,88,31.345684
-61.259144,76,31.444252
-63.095272,76,31.46082
-60.790424,82,31.652576
-61.916065,80,31.687792
-59.718185,79,31.771634
-57.620834,75,31.771661
-59.192196,77,31.971913
-59.6428,82,32.023555
-60.783062,75,32.088634
-58.904392,76,32.089351
-58.585365,76,32.283622
-59.913185,75,32.334853
-59.277775,75,32.400613
-57.080673,77,32.401301
-60.249687,82,32.613007
-60.20886,79,32.662463
-57.749157,77,32.713036
-57.601776,80,32.729355
-60.80442,73,32.957817
-59.527084,82,32.957845
-56.65248,82,33.057328
-57.05476,82,33.073825
-59.74425,79,33.28507
-61.912487,84,33.303616
-59.08898,79,33.401326
-58.773766,97,33.45249
-58.704746,77,33.603077
-57.67216,77,33.621546
-57.14012,76,33.719297
-63.43988,102,33.885383
-58.62004,85,33.952533
-58.848022,82,33.969005
-58.315994,86,34.069509
-60.435196,79,34.200269
-57.42839,76,34.279974
-58.265068,82,34.297876
-57.75403,80,34.611436
-58.42149,100,34.613585
-57.111137,84,34.644613
-58.027462,77,34.942806
-56.295685,79,34.961683
-56.536736,91,34.978146
-57.323082,76,35.274753
-56.842075,91,35.309921
-55.41585,95,35.378062
-53.803356,79,35.712692
-60.64269,125,35.838016
-159.83171,167,35.973341
-58.202057,83,36.213141
-58.516163,104,36.487314
-651.97516,600,36.644711
-171.91724,207,36.660816
-53.672707,97,36.677536
-56.070568,87,36.857726
-58.86459,88,37.036062
-58.314575,104,37.074746
-54.859188,114,37.123613
-58.289883,82,37.187031
-57.42871,82,37.360904
-55.09044,81,37.395706
-52.77028,89,37.473991
-123.84265,123,37.690233
-55.799393,112,37.854471
-56.395706,106,37.923862
-54.804176,82,38.03854
-55.869595,92,38.23965
-56.632324,92,38.303684
-56.30612,81,38.371413
-54.24266,89,38.615438
-54.75876,85,38.715231
-58.10512,108,38.746608
-55.034283,80,38.945627
-57.076782,87,39.079283
-56.31739,88,39.112008
-54.962624,101,39.374745
-56.4133,98,39.493337
-191.07115,528,39.560721
-134.28345,127,39.660728
-57.73581,96,39.783423
-62.029316,116,40.052055
-58.092922,97,40.067737
-147.99518,191,40.296907
-133.24013,128,40.31249
-59.309925,108,40.496283
-116.155045,126,40.579047
-62.280838,96,40.69341
-123.27951,130,40.874938
-121.83264,140,41.123522
-58.941242,93,41.124238
-118.494774,128,41.155102
-126.46332,116,41.362116
-120.02873,99,41.521113
-125.63429,103,41.537529
-120.7657,104,41.569476
-62.895668,120,41.867004
-65.448166,101,41.96955
-127.799805,110,42.049994
-137.50168,142,42.116835
-125.21266,118,42.84321
-119.55311,144,42.845136
-62.488228,92,42.879356
-129.07428,102,43.307332
-111.86702,111,43.381482
-122.267136,122,43.383076
-120.45638,112,43.799352
-115.494064,114,43.883322
-116.04735,116,43.88411
-119.211685,114,44.263654
-111.316574,101,44.298248
-112.546875,105,44.313834
-110.490234,92,44.64692
-108.84573,90,44.681315
-112.07139,105,44.746954
-637.1793,600,44.969789
-113.882965,89,45.03498
-133.63554,102,45.070364
-125.93876,99,45.149421
-123.53151,114,45.412926
-109.978714,100,45.429071
-127.495575,108,45.497956
-106.54492,91,45.513489
-109.28247,99,45.850065
-118.10173,117,45.915208
-116.9351,103,45.932338
-126.75471,120,46.017786
-131.35977,96,46.302241
-132.31702,115,46.318084
-113.98998,117,46.405429
-108.369095,99,46.423102
-128.21669,108,46.76508
-129.05858,125,46.938419
-137.92339,128,46.938449
-138.61205,171,47.019289
-129.12772,107,47.17732
-123.848495,95,47.319482
-134.6618,108,47.377855
-108.7705,109,47.491085
-123.46943,110,47.65327
-125.65831,100,47.745352
-115.49814,104,47.809816
-142.06934,111,47.924474
-121.651505,91,48.014978
-126.786545,97,48.126559
-127.284386,91,48.176937
-124.6405,83,48.258161
-119.57698,90,48.369877
-127.45812,100,48.53762
-114.892914,112,48.639277
-111.09618,116,48.754295
-108.62819,112,48.847418
-110.94742,117,49.016922
-108.68257,117,49.11993
-122.784744,108,49.278267
-126.30655,140,49.309773
-112.7955,118,49.510199
-110.354034,117,49.593169
-116.62193,110,49.734736
-112.26473,125,49.817397
-115.706055,111,49.945235
-115.67578,92,49.962039
-128.56018,132,50.285033
-112.92087,121,50.344892
-103.08551,100,50.394473
-112.0538,119,50.470519
-106.053535,100,50.823282
-123.21422,105,50.911519
-143.21643,148,50.97505
-154.39523,169,51.011237
-122.99474,109,51.2916
-111.00563,86,51.343559
-123.40185,106,51.378363
-128.3084,115,51.521227
-132.65321,118,51.816647
-131.52728,111,51.834246
-135.18193,129,51.93698
-129.41785,123,52.039371
-129.10818,129,52.364919
-122.65352,111,52.396856
-138.43192,148,52.433866
-121.26045,102,52.470948
-123.1204,102,52.844041
-128.18346,110,52.844072
-126.30638,121,52.860017
-121.80828,108,52.908546
-117.245834,97,53.256527
-119.33175,102,53.289582
-117.984085,96,53.306653
-121.24494,119,53.342179
-113.404106,113,53.716364
-124.47626,105,53.717077
-121.21145,103,53.73147
-131.34561,116,53.818947
-107.958496,98,54.120364
-117.641525,104,54.168121
-116.8599,117,54.203427
-125.88403,120,54.321054
-116.5822,95,54.513242
-123.595245,100,54.577321
-122.60205,105,54.642198
-120.40022,107,54.759355
-121.67386,100,54.925513
-116.54851,107,55.007245
-114.66106,98,55.039258
-108.05203,90,55.123567
-117.83299,108,55.449741
-122.36205,102,55.464156
-119.40019,134,55.480384
-119.77247,104,55.549053
-112.888466,103,55.889553
-124.80605,110,55.92396
-126.84499,124,56.004047
-123.28771,166,56.252356
-120.232254,106,56.335191
-112.522575,100,56.420878
-121.99698,139,56.507088
-117.127106,106,56.691919
-130.17056,107,56.867159
-127.11991,103,56.940357
-129.02007,160,57.029364
-126.3389,101,57.14495
-124.31326,114,57.357983
-118.759544,117,57.439282
-118.530106,110,57.473671
-126.627335,115,57.607126
-125.625465,110,57.802554
-120.069534,106,57.867748
-128.90408,130,58.017547
-121.797806,103,58.035664
-118.085335,108,58.2474
-138.12508,110,58.326277
-134.87305,116,58.489426
-121.118965,115,58.507413
-132.5028,116,58.719765
-135.67288,107,58.752004
-124.53827,107,58.928493
-125.53541,110,58.947845
-130.3005,103,59.143403
-128.03746,111,59.208681
-130.04404,110,59.371801
-166.56534,121,59.462548
-120.05441,108,59.616319
-126.62256,111,59.693899
-123.98821,106,59.832606
-123.74284,111,59.917347
-123.0438,103,60.024983
-120.88217,102,60.089856
-122.034134,109,60.258397
-122.25089,111,60.354461
-129.70222,116,60.477719
-143.52611,115,60.540903
-120.35368,112,60.699719
-147.21399,118,60.824344
-125.25151,112,60.921464
-125.24242,114,60.997992
-115.062874,102,61.097886
-120.75495,107,61.247419
-117.0346,116,61.391954
-139.87567,117,61.499624
-133.44106,124,61.648997
-145.33264,116,61.775769
-110.145584,118,61.934622
-123.24805,113,62.002407
-127.88292,115,62.154415
-114.28078,121,62.319494
-125.90497,120,62.450378
-118.860886,111,62.480271
-130.56113,114,62.643297
-109.71443,116,62.786158
-102.436935,103,62.896214
-118.18856,128,62.961016
-122.17398,110,63.077039
-120.72327,120,63.274583
-120.54901,146,63.599263
-123.633675,181,63.665179
-118.62746,143,63.696792
-121.32206,199,64.131767
-123.142944,136,64.177378
-126.863174,124,64.228831
-126.66918,202,64.502992
-124.24677,123,64.659928
-124.39009,119,64.691725
-134.19975,156,64.892764
-127.43863,124,65.034593
-132.0092,131,65.209619
-131.1766,155,65.296154
-131.64227,136,65.58984
-116.19209,110,65.666565
-145.48196,247,65.892321
-131.70192,164,66.255639
-133.86823,252,66.31982
-130.64284,162,66.321162
-129.95332,169,66.591204
-124.212776,121,66.837995
-127.87579,128,66.855073
-117.81726,108,67.034828
-137.19043,157,67.482369
-162.05286,332,67.626145
-143.45723,139,68.191607
-168.70274,385,68.416248
-167.88766,414,68.744345
-141.40594,190,69.018026
-134.32422,143,69.353337
-223.2081,587,69.93366
-141.08257,160,70.014566
-165.1421,278,70.164671
-135.57022,172,70.648413
-140.36432,154,70.664856
-156.0033,600,70.946368
-174.25029,290,71.372135
-132.83014,129,71.472254
-154.18033,212,71.519651
-133.72223,147,71.980704
-125.670685,150,72.113956
-138.75923,152,72.16142
-143.10777,170,72.674748
-135.0947,141,72.675893
-132.62193,165,72.824085
-159.46555,600,73.14134
-138.11931,132,73.370367
-145.80547,181,73.422436
-155.07246,214,73.568914
-115.048584,138,74.133578
-157.80475,273,74.544729
-165.64316,307,74.644722
-158.71593,201,74.959441
-132.96133,169,75.342957
-150.69125,206,75.408359
-88.88902,107,75.409641
-169.57323,600,75.626155
-137.80475,155,76.255265
-84.24954,109,76.71296
-103.23004,156,77.358091
-130.44589,600,77.836013
-125.24061,600,77.902233
-113.11342,600,77.902953
-132.64218,278,78.519669
-73.16147,102,78.947044
-129.69481,600,80.349173
-88.43124,600,80.41213
-94.90167,600,80.413427
-68.54251,600,81.464912
-158.76405,600,83.103349
-150.13463,600,83.167079
-613.5486,600,83.168338
-257.73413,484,83.72264
-223.5307,560,87.768227
-197.79276,600,88.00459
-180.8348,600,88.005857
-168.39853,600,88.58893
